City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Puerto Ayora,EC,2022-09-25 22:33:06,-0.7393,-90.3518,75.16,93,100,8.01,overcast clouds
104,Nikolskoye,RU,2022-09-25 22:33:07,59.7035,30.7861,48.09,95,100,0.67,overcast clouds
105,Saldanha,ZA,2022-09-25 22:33:07,-33.0117,17.9442,55.45,87,100,3.56,overcast clouds
106,Mar Del Plata,AR,2022-09-25 22:33:07,-38.0023,-57.5575,56.08,93,100,9.22,mist
107,Hami,CN,2022-09-25 22:33:07,42.8,93.45,67.48,18,3,8.46,clear sky
108,North Platte,US,2022-09-25 22:33:08,41.1239,-100.7654,77.11,26,25,13.0,scattered clouds
109,Huarmey,PE,2022-09-25 22:33:08,-10.0681,-78.1522,64.04,78,17,11.1,few clouds
110,Faanui,PF,2022-09-25 22:33:08,-16.4833,-151.75,78.17,76,19,18.1,few clouds
111,Cidreira,BR,2022-09-25 22:33:09,-30.1811,-50.2056,62.31,88,100,14.56,moderate rain
112,Wanaka,NZ,2022-09-25 22:29:44,-44.7,169.15,56.1,72,100,1.99,overcast clouds
113,Port Lincoln,AU,2022-09-25 22:30:23,-34.7333,135.8667,55.31,64,91,12.03,overcast clouds
114,Hovd,MN,2022-09-25 22:33:09,48.0056,91.6419,52.39,39,18,8.81,few clouds
115,Nabire,ID,2022-09-25 22:33:10,-3.3667,135.4833,79.14,80,73,1.9,broken clouds
116,Karratha,AU,2022-09-25 22:33:10,-20.7377,116.8463,74.3,29,0,16.33,clear sky
117,Celendin,PE,2022-09-25 22:33:10,-6.8703,-78.1517,54.12,71,99,6.44,light rain
118,Aguimes,ES,2022-09-25 22:33:11,27.9054,-15.4461,67.66,100,75,6.91,broken clouds
119,Jamestown,US,2022-09-25 22:30:32,42.097,-79.2353,61.02,72,100,11.5,overcast clouds
120,Benicarlo,ES,2022-09-25 22:33:11,40.4165,0.4271,68.25,55,48,8.7,scattered clouds
121,Naryan-Mar,RU,2022-09-25 22:33:09,67.6713,53.087,30.25,79,100,7.99,overcast clouds
122,Mahebourg,MU,2022-09-25 22:33:11,-20.4081,57.7,71.26,83,40,8.05,scattered clouds
123,Fortuna,US,2022-09-25 22:33:12,40.5982,-124.1573,70.09,80,9,6.33,clear sky
124,Hamilton,US,2022-09-25 22:30:23,39.1834,-84.5333,71.04,60,100,17.27,overcast clouds
125,Sao Filipe,CV,2022-09-25 22:33:12,14.8961,-24.4956,78.42,75,97,7.87,overcast clouds
126,Labuhan,ID,2022-09-25 22:33:13,-6.8844,112.2051,78.33,78,95,13.18,overcast clouds
127,Bongor,TD,2022-09-25 22:33:13,10.2806,15.3722,74.75,82,49,2.28,scattered clouds
128,Solnechnyy,RU,2022-09-25 22:33:13,50.7214,136.6319,50.5,90,99,9.13,overcast clouds
129,Hilo,US,2022-09-25 22:33:13,19.7297,-155.09,86.29,70,100,8.05,overcast clouds
130,Georgetown,MY,2022-09-25 22:32:30,5.4112,100.3354,80.89,90,20,3.44,few clouds
131,Pingshan,CN,2022-09-25 22:33:14,22.9938,114.7131,75.24,84,18,1.92,few clouds
132,Hopelchen,MX,2022-09-25 22:33:14,19.7667,-89.85,86.59,55,89,5.86,overcast clouds
133,Tiksi,RU,2022-09-25 22:33:15,71.6872,128.8694,34.23,79,91,23.49,overcast clouds
134,Nayoro,JP,2022-09-25 22:33:15,44.3506,142.4578,60.55,82,50,3.24,scattered clouds
135,Ballina,AU,2022-09-25 22:33:15,-28.8667,153.5667,67.01,84,12,2.98,few clouds
136,Butaritari,KI,2022-09-25 22:33:15,3.0707,172.7902,81.59,71,2,12.37,clear sky
137,Norman Wells,CA,2022-09-25 22:33:16,65.282,-126.8329,50.04,53,20,6.91,few clouds
138,Mount Isa,AU,2022-09-25 22:33:16,-20.7333,139.5,73.17,28,0,0.0,clear sky
139,Skwierzyna,PL,2022-09-25 22:34:16,52.5991,15.5065,55.49,75,46,4.74,scattered clouds
140,Zhanjiang,CN,2022-09-25 22:34:17,21.2815,110.3427,76.14,85,52,4.21,broken clouds
141,Poquoson,US,2022-09-25 22:34:17,37.1224,-76.3458,84.0,39,100,24.16,overcast clouds
142,Constitucion,CL,2022-09-25 22:33:22,-35.3333,-72.4167,49.73,76,38,9.66,scattered clouds
143,Ancud,CL,2022-09-25 22:34:17,-41.8697,-73.8203,48.22,76,100,17.67,overcast clouds
144,Broome,US,2022-09-25 22:34:18,42.2506,-75.833,61.54,85,20,12.66,few clouds
145,Dikson,RU,2022-09-25 22:33:09,73.5069,80.5464,32.52,80,100,17.36,overcast clouds
146,Enshi,CN,2022-09-25 22:34:18,30.3,109.4833,57.65,97,14,1.72,few clouds
147,Mana,GF,2022-09-25 22:34:19,5.6592,-53.7767,80.31,81,10,12.33,clear sky
148,Khandyga,RU,2022-09-25 22:34:19,62.6667,135.6,37.53,95,100,3.94,light rain
149,Tuktoyaktuk,CA,2022-09-25 22:34:19,69.4541,-133.0374,33.8,75,100,9.22,overcast clouds
150,Mokhsogollokh,RU,2022-09-25 22:34:20,61.4681,128.9203,31.48,91,49,5.66,scattered clouds
151,Dulovo,BG,2022-09-25 22:34:20,43.8167,27.15,59.56,63,55,8.43,broken clouds
152,Muros,ES,2022-09-25 22:34:20,42.7762,-9.0603,58.08,78,0,15.03,clear sky
153,Nicoya,CR,2022-09-25 22:34:21,10.1483,-85.452,76.66,92,100,3.62,overcast clouds
154,Mehamn,NO,2022-09-25 22:34:21,71.0357,27.8492,42.75,81,0,10.36,clear sky
155,Lagoa,PT,2022-09-25 22:34:21,39.05,-27.9833,70.5,66,58,20.47,broken clouds
156,Touba,CI,2022-09-25 22:34:22,8.2833,-7.6833,68.41,98,98,5.7,light rain
157,Ketchikan,US,2022-09-25 22:34:22,55.3422,-131.6461,57.67,94,100,12.66,heavy intensity rain
158,Udachnyy,RU,2022-09-25 22:34:22,66.4167,112.4,13.5,97,98,4.36,overcast clouds
159,Kruisfontein,ZA,2022-09-25 22:34:23,-34.0033,24.7314,57.88,94,100,4.65,overcast clouds
160,Yamada,JP,2022-09-25 22:34:23,39.4667,141.95,67.87,71,99,1.1,overcast clouds
161,Tessalit,ML,2022-09-25 22:34:23,20.1986,1.0114,92.35,17,85,0.98,overcast clouds
162,Amapa,BR,2022-09-25 22:34:24,1.0,-52.0,81.21,62,22,6.33,few clouds
163,San Patricio,US,2022-09-25 22:34:24,28.017,-97.5169,91.35,48,71,10.78,broken clouds
164,Qaanaaq,GL,2022-09-25 22:34:24,77.484,-69.3632,30.18,84,100,8.72,overcast clouds
165,Yatou,CN,2022-09-25 22:34:25,37.15,122.3833,63.66,76,6,2.24,clear sky
166,Surin,TH,2022-09-25 22:34:25,14.8818,103.4936,75.58,96,86,3.6,overcast clouds
167,Haines Junction,CA,2022-09-25 22:34:25,60.7522,-137.5108,53.55,43,100,2.3,overcast clouds
168,Bethel,US,2022-09-25 22:34:26,41.3712,-73.414,68.31,78,0,10.36,clear sky
169,Thompson,CA,2022-09-25 22:31:45,55.7435,-97.8558,48.36,49,40,13.8,scattered clouds
